,Date,Holiday,SiteId
0,2016-01-01,New year,1
1,2016-01-18,"Birthday of Martin Luther King, Jr.",1
2,2016-02-15,Washington's Birthday,1
3,2016-05-30,Memorial Day,1
4,2016-07-04,Independence Day,1
5,2016-09-05,Labor Day,1
6,2016-11-08,Election Day,1
7,2016-11-11,Veterans Day,1
8,2016-11-24,Thanksgiving Day,1
9,2016-11-25,Thanksgiving Friday,1
10,2016-12-23,Christmas Eve (Observed),1
11,2016-12-24,Christmas Eve,1
12,2016-12-25,Christmas Day,1
13,2016-12-26,Christmas Day (Observed),1
14,2016-12-30,New Years Eve (Observed),1
15,2016-12-31,New Years Eve,1
16,2017-01-01,New year,1
17,2017-01-02,New year (Observed),1
18,2017-01-16,"Birthday of Martin Luther King, Jr.",1
19,2017-02-20,Washington's Birthday,1
20,2017-05-29,Memorial Day,1
21,2017-07-04,Independence Day,1
22,2017-09-04,Labor Day,1
23,2017-11-10,Veterans Day (Observed),1
24,2017-11-11,Veterans Day,1
25,2017-11-23,Thanksgiving Day,1
26,2017-11-24,Thanksgiving Friday,1
27,2017-12-22,Christmas Eve shift,1
28,2017-12-24,Christmas Eve,1
29,2017-12-25,Christmas Day,1
30,2017-12-25,Christmas Eve (Observed),1
31,2017-12-26,Christmas Eve (Observed),1
32,2017-12-27,Christmas Day (Observed),1
33,2017-12-29,New Years Eve Shift,1
34,2017-12-31,New Years Eve,1
35,2018-01-01,New Years Eve (Observed),1
36,2014-01-01,New year,1
37,2014-01-20,"Birthday of Martin Luther King, Jr.",1
38,2014-02-17,Washington's Birthday,1
39,2014-05-26,Memorial Day,1
40,2014-07-04,Independence Day,1
41,2014-09-01,Labor Day,1
42,2014-11-04,Election Day,1
43,2014-11-11,Veterans Day,1
44,2014-11-27,Thanksgiving Day,1
45,2014-11-28,Thanksgiving Friday,1
46,2014-12-24,Christmas Eve,1
47,2014-12-25,Christmas Day,1
48,2014-12-31,New Years Eve,1
49,2015-01-01,New year,1
50,2015-01-19,"Birthday of Martin Luther King, Jr.",1
51,2015-02-16,Washington's Birthday,1
52,2015-05-25,Memorial Day,1
53,2015-07-03,Independence Day (Observed),1
54,2015-07-04,Independence Day,1
