,SiteId,Surface,avg_quarter,avg_hour,avg_day,pattern
0,1,1387.2051194130663,,,4421744.297715583,5-2
1,2,6098.278376070084,,67524.36465279559,,5-2
2,3,10556.293605272658,,,6591266.765707251,Sat-off
3,5,12541.181276633288,25595.227515621787,26001.779203559192,,5-2
4,6,9150.19537329732,34005.8556215697,34487.19580281571,,5-2
5,7,15168.12597088516,,,9242658.682289079,5-2
6,8,22221.85184655245,47201.535196826604,48409.949416423005,,5-2
7,9,14588.849015258602,3357.436131642524,3353.6274568720723,,5-2
8,10,6393.671250655899,,,1609580.5572946086,5-2
9,11,2517.739425248932,2359.35892375847,,,5-2
10,12,33676.246551396136,,,9848884.103937168,5-2
11,13,891.4878498328047,,,3525397.044940948,5-2
12,14,702.1016954440776,32618.731452676613,,,5-2
13,15,1416.7963690831439,,,6833021.176407242,5-2
14,16,1218.7383826940575,,128937.66865934207,135657.68127806135,5-2
15,17,1625.837519660935,,,10944465.173548559,5-2
16,18,677.5331949867615,,,1517977.314262665,5-2
17,19,613.8209365308285,10341.073755426636,11216.366126410368,,5-2
18,20,17449.2419360091,,201467.16382805692,,5-2
19,21,10985.29263411183,,,2977628.7472001687,5-2
20,22,7392.365414998494,26087.12114700964,,,5-2
21,23,6649.452014360578,134997.0431232314,,,Sun-off
22,25,2201.9249040749855,25996.08006893265,26084.192697004895,,5-2
23,26,14.884534437442198,,188711.382888633,378551.80026778055,5-2
24,27,17.321666637435555,,261633.08103147865,,5-2
25,29,7406.128494094824,,,1100729.2163639804,5-2
26,32,6225.945149556734,,,962560.3508348721,5-2
27,33,3280.584453542135,23122.81562360115,23127.809886406365,,5-2
28,34,1868.542637850624,218.13715758034746,,,5-2
29,38,14612.245694734156,,,464722.28481453384,5-2
30,39,8336.284919582307,,2524.5913451875763,,5-2
31,40,393.3574302976485,,5485.100673632252,4531.524301736994,5-2
32,41,45941.71643756564,127870.90694134288,,,4-3
33,42,1032.7350634906907,,35768.796981208914,,5-2
34,43,239.49596628081053,18049.24169556569,,,All-on
35,44,1146.416588178603,11428.655046309863,11964.254166896508,,5-2
36,45,494.15203323133767,,16482.572588696785,,5-2
37,46,2705.0604202173417,13320.11783081953,15454.17932398352,,5-2
38,47,816.772219419945,,,1200423.579846442,5-2
39,48,975.1196257257834,10866.411618433087,,,5-2
40,49,1046.0328463133192,3131.6420293258093,,,5-2
41,50,394.6370808655629,3242.428631103151,3266.4531085010653,,5-2
42,51,7142.355221289326,,96151.65931765761,,5-2
43,52,564.093165342696,,,294829.1382003586,5-2
44,53,661.7787830894813,,4223.326455958222,,5-2
45,54,650.5208434959641,,3394.2744330413775,,5-2
46,57,700.6161668775603,,30630.888079852684,,5-2
47,58,1149.0506062051281,,,981097.0025802372,5-2
48,59,1095.2528725669254,8353.292729736759,6209.607590553351,8222.96808847203,5-2
49,60,646.9506055890815,,26216.052891791092,,5-2
50,61,1399.7800472229721,,,1077505.1151455059,5-2
51,62,572.9816757806111,5561.404273698086,5240.833835290678,,5-2
52,63,1629.4589315075427,11614.67743489079,11385.71505045506,,5-2
53,64,1123.9659672142006,,,978093.3314151963,5-2
54,65,1334.1983460681513,11882.23603948037,,,5-2
55,66,502.21116292721115,,18760.491942968492,,5-2
56,67,810.9557596524246,,,619373.9458064741,5-2
57,68,2850.5002466234137,,,4043269.624205972,5-2
58,69,980.9315472166054,,,1564770.23095759,5-2
59,70,4275.9308899985635,,,976519.3389046782,5-2
60,72,817.4817056965549,,47255.75825187261,,5-2
61,73,1278.139659176115,,10007.642528313889,,5-2
62,74,424.3406632660189,4561.537822492052,4523.799281537661,,5-2
63,75,841.1544682143723,4256.571546624789,,,5-2
64,76,2036.8748266831967,,61015.36132489351,,5-2
65,77,59.90445112111047,,6680.657364661667,,5-2
66,78,6912.033298766473,,,2849925.1927922214,5-2
67,83,21753.195781689137,,,339828.4114059244,5-2
68,84,2775.1277192798443,1720.6363325958018,,,5-2
69,85,14007.729164166958,,7892.566024364613,,5-2
70,86,11070.615073936644,,10866.38513547505,,5-2
71,87,6946.494671784458,2426.691364348787,2141.984621979549,,5-2
72,88,13278.240566824681,3608.2759862817816,1618.4531733938993,6271.804029579158,5-2
73,89,20295.44546371617,150.11454540832978,153.08860223755283,,5-2
74,90,362.4737032689154,,,74600.71644144767,5-2
75,92,13740.528960344964,202.91863926262988,,,5-2
76,93,12728.709349448327,,77866489.4126013,,5-2
77,94,11631.21470570506,,,4954185.668070827,5-2
78,96,18337.137009683065,,19696.79508807362,,5-2
79,98,20625.80746551685,,90572.02006668677,,5-2
80,99,17695.884493142366,,4989.6037379091385,,5-2
81,100,9047.136190339224,,4769.007711496784,,5-2
82,101,9024.155116648762,,764.1193487382885,,5-2
83,102,19255.71056290297,,,99069.4524113314,5-2
84,105,15684.678377678501,11957.338289732192,,,5-2
85,106,10060.0609357754,169007.22208900083,,75786.60729259718,5-2
86,107,12458.855608629528,69852.82814800221,,,5-2
87,108,19067.465109346085,31053.88054427476,32910.866756269235,28802.7613899624,5-2
88,109,20683.592124267016,4195.90476522639,,5200.637501314282,5-2
89,110,14861.286072627407,,,12937.168770901368,Sun-off
