SiteId,Surface,Sampling,BaseTemperature,MondayIsDayOff,TuesdayIsDayOff,WednesdayIsDayOff,ThursdayIsDayOff,FridayIsDayOff,SaturdayIsDayOff,SundayIsDayOff
1,1387.2051194130663,15.0,18.0,False,False,False,False,False,True,True
2,6098.278376070084,30.0,18.0,False,False,False,False,False,True,True
3,10556.293605272658,5.0,18.0,False,False,False,False,False,True,False
5,12541.181276633288,30.0,18.0,False,False,False,False,False,True,True
6,9150.19537329732,30.0,18.0,False,False,False,False,False,True,True
7,15168.12597088516,30.0,18.0,False,False,False,False,False,True,True
8,22221.85184655245,30.0,18.0,False,False,False,False,False,True,True
9,14588.849015258602,30.0,18.0,False,False,False,False,False,True,True
10,6393.671250655899,30.0,18.0,False,False,False,False,False,True,True
11,2517.739425248932,30.0,18.0,False,False,False,False,False,True,True
12,33676.246551396136,15.0,18.0,False,False,False,False,False,True,True
13,891.4878498328047,15.0,18.0,False,False,False,False,False,True,True
14,702.1016954440776,15.0,18.0,False,False,False,False,False,True,True
15,1416.7963690831439,15.0,18.0,False,False,False,False,False,True,True
16,1218.7383826940575,15.0,18.0,False,False,False,False,False,True,True
17,1625.837519660935,15.0,18.0,False,False,False,False,False,True,True
18,677.5331949867615,15.0,18.0,False,False,False,False,False,True,True
19,613.8209365308285,30.0,18.0,False,False,False,False,False,True,True
20,17449.2419360091,10.0,18.0,False,False,False,False,False,True,True
21,10985.29263411183,10.0,18.0,False,False,False,False,False,True,True
22,7392.365414998494,10.0,18.0,False,False,False,False,False,True,True
23,6649.452014360578,15.0,18.0,False,False,False,False,False,False,True
25,2201.9249040749855,15.0,18.0,False,False,False,False,False,True,True
26,14.884534437442198,15.0,18.0,False,False,False,False,False,True,True
27,17.321666637435555,15.0,18.0,False,False,False,False,False,True,True
29,7406.128494094824,15.0,18.0,False,False,False,False,False,True,True
32,6225.945149556734,10.0,18.0,False,False,False,False,False,True,True
33,3280.584453542135,10.0,18.0,False,False,False,False,False,True,True
34,1868.542637850624,10.0,18.0,False,False,False,False,False,True,True
38,14612.245694734156,30.0,18.0,False,False,False,False,False,True,True
39,8336.284919582307,10.0,18.0,False,False,False,False,False,True,True
40,393.3574302976485,10.0,18.0,False,False,False,False,False,True,True
41,45941.716437565636,15.0,18.0,False,False,False,False,True,True,True
42,1032.7350634906907,15.0,18.0,False,False,False,False,False,True,True
43,239.49596628081053,15.0,21.0,False,False,False,False,False,False,False
44,1146.416588178603,15.0,18.0,False,False,False,False,False,True,True
45,494.15203323133767,15.0,18.0,False,False,False,False,False,True,True
46,2705.0604202173417,15.0,18.0,False,False,False,False,False,True,True
47,816.772219419945,15.0,18.0,False,False,False,False,False,True,True
48,975.1196257257834,15.0,18.0,False,False,False,False,False,True,True
49,1046.0328463133192,15.0,18.0,False,False,False,False,False,True,True
50,394.6370808655629,15.0,18.0,False,False,False,False,False,True,True
51,7142.355221289326,15.0,18.0,False,False,False,False,False,True,True
52,564.093165342696,15.0,18.0,False,False,False,False,False,True,True
53,661.7787830894813,15.0,18.0,False,False,False,False,False,True,True
54,650.5208434959641,15.0,18.0,False,False,False,False,False,True,True
57,700.6161668775603,15.0,18.0,False,False,False,False,False,True,True
58,1149.0506062051281,15.0,18.0,False,False,False,False,False,True,True
59,1095.2528725669254,15.0,18.0,False,False,False,False,False,True,True
60,646.9506055890815,15.0,18.0,False,False,False,False,False,True,True
61,1399.7800472229721,15.0,18.0,False,False,False,False,False,True,True
62,572.9816757806111,15.0,18.0,False,False,False,False,False,True,True
63,1629.4589315075427,15.0,18.0,False,False,False,False,False,True,True
64,1123.9659672142006,15.0,18.0,False,False,False,False,False,True,True
65,1334.1983460681513,15.0,18.0,False,False,False,False,False,True,True
66,502.2111629272112,15.0,18.0,False,False,False,False,False,True,True
67,810.9557596524246,15.0,18.0,False,False,False,False,False,True,True
68,2850.500246623414,15.0,18.0,False,False,False,False,False,True,True
69,980.9315472166054,15.0,18.0,False,False,False,False,False,True,True
70,4275.9308899985635,10.0,18.0,False,False,False,False,False,True,True
72,817.4817056965549,15.0,18.0,False,False,False,False,False,True,True
73,1278.139659176115,15.0,18.0,False,False,False,False,False,True,True
74,424.3406632660189,15.0,18.0,False,False,False,False,False,True,True
75,841.1544682143723,15.0,18.0,False,False,False,False,False,True,True
76,2036.8748266831967,15.0,18.0,False,False,False,False,False,True,True
77,59.90445112111047,15.0,18.0,False,False,False,False,False,True,True
78,6912.033298766473,15.0,18.0,False,False,False,False,False,True,True
83,21753.195781689137,15.0,18.0,False,False,False,False,False,True,True
84,2775.1277192798443,5.0,18.0,False,False,False,False,False,True,True
85,14007.729164166958,5.0,18.0,False,False,False,False,False,True,True
86,11070.615073936644,5.0,18.0,False,False,False,False,False,True,True
87,6946.494671784458,15.0,18.0,False,False,False,False,False,True,True
88,13278.240566824681,15.0,18.0,False,False,False,False,False,True,True
89,20295.44546371617,15.0,18.0,False,False,False,False,False,True,True
90,362.4737032689154,5.0,18.0,False,False,False,False,False,True,True
92,13740.528960344964,15.0,18.0,False,False,False,False,False,True,True
93,12728.709349448327,15.0,18.0,False,False,False,False,False,True,True
94,11631.214705705059,15.0,18.0,False,False,False,False,False,True,True
